Path URL,Description,Entity,Error Response,HTTP Methods,Success Response
/api/v1/orders/products_details/{order_number},Get Products by order_number,Orders,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Product.
/api/v1/orders/products_shipped_details,Get Products where order status is “shipped”,Orders,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Product.
/api/v1/orders/add,Add new Orders,Orders,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",POST,"{
""timeStamp"":""2023-06-08"",
""message"": ""Orders details added successfully”
}"
/api/v1/orders/{order_number}/{shipped_date},Update Orders shipped_date by order_number,Orders,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Shipped Date updated successfully”
}"
/api/v1/orders/{order_number}/{status},Update Orders status by order_number,Orders,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Order status updated successfully”
}"
/api/v1/product/all,Get All Products,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Product.
/api/v1/product/{product_code},Get Product by product_code,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Product Object
/api/v1/product/name/{product_name},Get Product by product_name,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Product Object
/api/v1/product/scale/{product_scale},Get Product by product_scale,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Product.
/api/v1/product/vendor/{product_vendor},Get Product by product_vendor,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Product.
/api/v1/product/total_ordered_qty/{product_code},Get Total Ordered Quantity,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Total Ordered Quantity
/api/v1/product/total_sale/{product_code},Get total sales by product_code,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Total sale amount for given product
/api/v1/product/total_sale/{product_code},Get total sales by product_code,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Total sale amount for given product
/api/v1/product/total_sale/{product_code},Get total sales by product_code,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Total sale amount for given product
/api/v1/product/add,Add new Product,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",POST,"{
""timeStamp"":""2023-06-08"",
""message"": ""Product details added successfully”
}"
/api/v1/product/{poduct_code}/{buy_price},Update Product’s Buy Price,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Product Buy Price updated successfully”
}"
/api/v1/product/update_quantity/{product_code}/{quantity_in_stock},Update Product’s quantity_in_stock,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Quantity in Stock details updated successfully”
}"
/api/v1/product/msrp/{product_code}/{msrp},Update Product’s MSRP,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""MSRP details updated successfully”
}"
/api/v1/product/vendor/{product_code}/{product_vendor},Update Product’s vendor,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Vendor details updated successfully”
}"
/api/v1/product/name/{product_code}/{product_name},Update Product’s Product name,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Product name details updated successfully”
}"
api/v1/product/scale/{product_code}/{produc_scale},Update Product’s Product Scale,Product,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Product Scale details updated successfully”
}"
/api/v1/productlines/all,Get All ProductLines,ProductLines,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of ProductLines.
/api/v1/productlines/add,Add new ProductLines,ProductLines,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",POST,"{
""timeStamp"":""2023-06-08"",
""message"": ""ProductLines details added successfully”
}"
